IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.11.216,2082,2082,false,KIX,Asia Pacific,Osaka,188,0.49
8.218.142.253,8880,8880,false,SIN,Asia Pacific,Singapore,102,0.48
141.147.166.189,2083,2083,true,HKG,Asia Pacific,Hong Kong,246,0.44
8.209.222.232,2052,2052,false,HKG,Asia Pacific,Hong Kong,230,0.44
8.209.222.232,2087,2087,true,HKG,Asia Pacific,Hong Kong,233,0.42
158.101.158.238,8080,8080,false,HKG,Asia Pacific,Hong Kong,243,0.41
47.236.83.239,2053,2053,true,SIN,Asia Pacific,Singapore,91,0.40
47.76.37.57,80,80,false,HKG,Asia Pacific,Hong Kong,61,0.40
154.204.56.238,34237,2096,true,HKG,Asia Pacific,Hong Kong,145,0.40
119.8.62.199,13080,443,true,HKG,Asia Pacific,Hong Kong,59,0.38
192.151.255.3,41698,80,false,HKG,Asia Pacific,Hong Kong,72,0.35
195.245.241.123,26876,443,true,SIN,Asia Pacific,Singapore,95,0.34
131.186.59.232,2095,2095,false,HKG,Asia Pacific,Hong Kong,268,0.34
158.101.158.238,2082,2082,false,HKG,Asia Pacific,Hong Kong,215,0.31
131.186.59.232,2082,2082,false,HKG,Asia Pacific,Hong Kong,213,0.31
103.74.192.149,34237,2096,true,HKG,Asia Pacific,Hong Kong,171,0.31
103.20.223.245,47369,443,true,HKG,Asia Pacific,Hong Kong,136,0.31
141.147.186.210,80,80,false,NRT,Asia Pacific,Tokyo,184,0.31
131.186.37.49,2052,2052,false,KIX,Asia Pacific,Osaka,176,0.30
168.138.211.131,8880,8880,false,HKG,Asia Pacific,Hong Kong,243,0.29
47.245.37.29,2053,2053,true,HKG,Asia Pacific,Hong Kong,312,0.29
193.134.209.54,34237,2096,true,HKG,Asia Pacific,Hong Kong,125,0.29
8.210.21.65,2053,2053,true,HKG,Asia Pacific,Hong Kong,66,0.28
192.151.255.25,41698,80,false,HKG,Asia Pacific,Hong Kong,61,0.28
8.218.156.91,8080,8080,false,SIN,Asia Pacific,Singapore,150,0.28
141.147.162.204,2087,2087,true,HKG,Asia Pacific,Hong Kong,232,0.27
43.156.36.231,443,443,true,HKG,Asia Pacific,Hong Kong,147,0.27
140.238.61.78,2095,2095,false,HKG,Asia Pacific,Hong Kong,276,0.27
8.218.142.253,2095,2095,false,SIN,Asia Pacific,Singapore,145,0.26
158.179.189.106,2086,2086,false,HKG,Asia Pacific,Hong Kong,248,0.26
151.145.74.56,2052,2052,false,KIX,Asia Pacific,Osaka,177,0.26
192.151.255.16,41698,80,false,HKG,Asia Pacific,Hong Kong,75,0.26
47.74.46.84,2053,2053,true,NRT,Asia Pacific,Tokyo,79,0.25
132.145.121.123,2082,2082,false,HKG,Asia Pacific,Hong Kong,217,0.25
141.147.183.96,2095,2095,false,KIX,Asia Pacific,Osaka,148,0.24
131.186.34.11,8080,8080,false,HKG,Asia Pacific,Hong Kong,217,0.24
47.76.32.108,2082,2082,false,HKG,Asia Pacific,Hong Kong,86,0.24
103.148.72.116,20443,443,true,HKG,Asia Pacific,Hong Kong,151,0.24
47.91.10.228,2096,2096,true,HKG,Asia Pacific,Hong Kong,203,0.24
47.76.37.57,8880,8880,false,HKG,Asia Pacific,Hong Kong,117,0.24
141.147.178.202,80,80,false,KIX,Asia Pacific,Osaka,147,0.24
23.225.133.90,41698,80,false,HKG,Asia Pacific,Hong Kong,58,0.23
150.230.104.197,2083,2083,true,HKG,Asia Pacific,Hong Kong,215,0.23
151.145.74.56,2082,2082,false,HKG,Asia Pacific,Hong Kong,247,0.23
151.145.69.105,2086,2086,false,HKG,Asia Pacific,Hong Kong,246,0.23
103.74.192.45,34401,443,true,HKG,Asia Pacific,Hong Kong,144,0.22
158.101.142.103,2086,2086,false,NRT,Asia Pacific,Tokyo,172,0.22
152.70.106.185,8080,8080,false,HKG,Asia Pacific,Hong Kong,223,0.22
43.134.141.16,443,443,true,HKG,Asia Pacific,Hong Kong,100,0.22
103.20.223.93,30809,80,false,HKG,Asia Pacific,Hong Kong,136,0.22
103.103.245.239,15756,443,true,HKG,Asia Pacific,Hong Kong,105,0.21
